Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Ontario (00035)   20000,Total - Sex,"      Celtic languages, n.i.e.",25,20,0,10,0
Ontario (00035)   20000,Total - Sex,    Slavic languages,298440,262790,180,18135,17340
Ontario (00035)   20000,Total - Sex,      Bulgarian,2350,1965,10,195,180
Ontario (00035)   20000,Total - Sex,      Byelorussian,300,245,0,45,10
Ontario (00035)   20000,Total - Sex,      Croatian,29155,26215,10,1425,1500
Ontario (00035)   20000,Total - Sex,      Czech,12605,10915,0,1365,325
Ontario (00035)   20000,Total - Sex,      Macedonian,15315,13765,0,490,1055
Ontario (00035)   20000,Total - Sex,      Polish,118845,102445,80,6925,9400
Ontario (00035)   20000,Total - Sex,      Russian,15810,13090,50,1180,1490
Ontario (00035)   20000,Total - Sex,      Serbian,10125,8835,0,705,580
Ontario (00035)   20000,Total - Sex,      Serbo-Croatian,3455,2945,0,360,140
Ontario (00035)   20000,Total - Sex,      Slovak,11370,10495,0,735,150
Ontario (00035)   20000,Total - Sex,      Slovenian,7030,6440,10,500,80
Ontario (00035)   20000,Total - Sex,      Ukrainian,54890,49750,15,3465,1665
Ontario (00035)   20000,Total - Sex,"      Slavic languages, n.i.e.",17185,15680,0,750,750
Ontario (00035)   20000,Total - Sex,    Baltic languages,16505,14980,0,1220,300
Ontario (00035)   20000,Total - Sex,      Latvian (Lettish),7995,7235,0,660,100
Ontario (00035)   20000,Total - Sex,      Lithuanian,8515,7745,0,560,200
Ontario (00035)   20000,Total - Sex,    Finno-Ugric languages,73660,66515,35,5005,2110
Ontario (00035)   20000,Total - Sex,      Estonian,9270,8350,0,715,205
Ontario (00035)   20000,Total - Sex,      Finnish,18805,17525,0,710,570
Ontario (00035)   20000,Total - Sex,      Hungarian,45585,40640,30,3580,1335
Ontario (00035)   20000,Total - Sex,    Greek,66670,58025,25,3610,5005
Ontario (00035)   20000,Total - Sex,    Armenian,10625,7505,100,2335,685
Ontario (00035)   20000,Total - Sex,    Turkic languages,5085,4265,20,405,390
