Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Alberta (00048)   20000,Total - Sex,"      Celtic languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,Total - Sex,    Slavic languages,77895,72830,10,2615,2440
Alberta (00048)   20000,Total - Sex,      Bulgarian,255,235,0,15,10
Alberta (00048)   20000,Total - Sex,      Byelorussian,30,30,0,0,0
Alberta (00048)   20000,Total - Sex,      Croatian,2110,1945,0,140,25
Alberta (00048)   20000,Total - Sex,      Czech,3855,3550,0,245,65
Alberta (00048)   20000,Total - Sex,      Macedonian,10,10,0,0,0
Alberta (00048)   20000,Total - Sex,      Polish,19950,17470,0,1055,1420
Alberta (00048)   20000,Total - Sex,      Russian,3230,2910,0,95,230
Alberta (00048)   20000,Total - Sex,      Serbian,325,310,0,20,0
Alberta (00048)   20000,Total - Sex,      Serbo-Croatian,325,295,0,20,10
Alberta (00048)   20000,Total - Sex,      Slovak,1615,1540,0,55,25
Alberta (00048)   20000,Total - Sex,      Slovenian,480,440,0,35,0
Alberta (00048)   20000,Total - Sex,      Ukrainian,43195,41745,10,835,605
Alberta (00048)   20000,Total - Sex,"      Slavic languages, n.i.e.",2510,2350,0,100,60
Alberta (00048)   20000,Total - Sex,    Baltic languages,860,785,0,70,0
Alberta (00048)   20000,Total - Sex,      Latvian (Lettish),360,320,0,40,0
Alberta (00048)   20000,Total - Sex,      Lithuanian,500,465,0,30,10
Alberta (00048)   20000,Total - Sex,    Finno-Ugric languages,9520,8800,10,375,335
Alberta (00048)   20000,Total - Sex,      Estonian,320,280,0,25,10
Alberta (00048)   20000,Total - Sex,      Finnish,1245,1165,0,60,15
Alberta (00048)   20000,Total - Sex,      Hungarian,7955,7350,10,285,310
Alberta (00048)   20000,Total - Sex,    Greek,2925,2660,0,180,85
Alberta (00048)   20000,Total - Sex,    Armenian,260,180,0,60,20
Alberta (00048)   20000,Total - Sex,    Turkic languages,580,460,0,75,40
Alberta (00048)   20000,Total - Sex,      Turkish,565,450,0,80,40
Alberta (00048)   20000,Total - Sex,"      Turkic languages, n.i.e.",10,10,0,0,0
Alberta (00048)   20000,Total - Sex,    Semitic languages,10900,8980,55,1035,825
Alberta (00048)   20000,Total - Sex,      Amharic,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,      Arabic,9315,7590,55,930,735
Alberta (00048)   20000,Total - Sex,      Hebrew,380,325,0,50,0
Alberta (00048)   20000,Total - Sex,      Maltese,75,70,0,0,0
Alberta (00048)   20000,Total - Sex,      Somali,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,      Tingringa,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,"      Semitic languages, n.i.e.",1135,995,0,45,90
Alberta (00048)   20000,Total - Sex,    Indo-Iranian languages,29530,25355,15,1055,3105
Alberta (00048)   20000,Total - Sex,      Bengali,570,500,0,55,15
Alberta (00048)   20000,Total - Sex,      Gujarati,5500,4735,10,200,560
Alberta (00048)   20000,Total - Sex,      Hindi,4305,3995,0,135,180
Alberta (00048)   20000,Total - Sex,      Konkani,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,      Kurdish,135,100,0,0,35
Alberta (00048)   20000,Total - Sex,      Marathi,120,110,0,0,10
Alberta (00048)   20000,Total - Sex,      Pashto,25,25,0,0,0
Alberta (00048)   20000,Total - Sex,      Persian (Farsi),1735,1565,10,50,115
Alberta (00048)   20000,Total - Sex,      Punjabi,12425,10230,0,330,1860
Alberta (00048)   20000,Total - Sex,      Sindhi,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,      Sinhalese,375,345,0,20,10
Alberta (00048)   20000,Total - Sex,      Urdu,2625,2355,0,85,185
Alberta (00048)   20000,Total - Sex,"      Indo-Iranian languages, n.i.e.",1715,1400,0,175,140
Alberta (00048)   20000,Total - Sex,    Dravidian languages,1575,1460,0,70,40
Alberta (00048)   20000,Total - Sex,      Kannada,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,      Malayalam,640,595,0,25,15
Alberta (00048)   20000,Total - Sex,      Tamil,655,600,0,40,15
Alberta (00048)   20000,Total - Sex,      Telugu,130,120,0,10,10
Alberta (00048)   20000,Total - Sex,"      Dravidian languages, n.i.e.",145,145,0,0,0
Alberta (00048)   20000,Total - Sex,    Japanese,3035,2745,0,45,245
Alberta (00048)   20000,Total - Sex,    Korean,3145,2600,10,100,435
Alberta (00048)   20000,Total - Sex,    Sino-Tibetan languages,60745,46715,20,1180,12830
Alberta (00048)   20000,Total - Sex,      Chinese,60265,46285,15,1175,12790
Alberta (00048)   20000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",480,430,0,10,40
Alberta (00048)   20000,Total - Sex,    Tai languages,955,765,0,60,125
Alberta (00048)   20000,Total - Sex,      Lao,645,495,0,55,90
Alberta (00048)   20000,Total - Sex,      Thai,310,270,0,0,40
Alberta (00048)   20000,Total - Sex,    Austro-Asiatic languages,14720,11430,10,565,2715
Alberta (00048)   20000,Total - Sex,      Khmer (Cambodian),1925,1260,0,55,610
Alberta (00048)   20000,Total - Sex,      Vietnamese,12770,10140,10,510,2105
Alberta (00048)   20000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",20,25,0,0,0
Alberta (00048)   20000,Total - Sex,    Malayo-Polynesian languages,11660,11160,0,140,365
Alberta (00048)   20000,Total - Sex,      Malay-Bahasa,330,300,0,0,35
Alberta (00048)   20000,Total - Sex,      Tagalog (Pilipino),10055,9650,0,130,270
Alberta (00048)   20000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",1275,1215,0,0,55
Alberta (00048)   20000,Total - Sex,"    Asiatic languages, n.i.e.",40,35,0,0,0
Alberta (00048)   20000,Total - Sex,    Niger-Congo languages,830,740,0,55,35
Alberta (00048)   20000,Total - Sex,      Bantu languages,375,335,0,25,15
Alberta (00048)   20000,Total - Sex,        Swahili,140,115,0,10,10
Alberta (00048)   20000,Total - Sex,"        Bantu languages, n.i.e.",235,220,0,15,10
Alberta (00048)   20000,Total - Sex,      Twi,-,-,-,-,-
Alberta (00048)   20000,Total - Sex,"      Niger-Congo languages, n.i.e.",450,405,0,30,15
Alberta (00048)   20000,Total - Sex,"    African languages, n.i.e.",190,185,0,0,0
Alberta (00048)   20000,Total - Sex,    Creoles,165,105,0,50,10
Alberta (00048)   20000,Total - Sex,    Other languages,445,345,0,20,80
Alberta (00048)   20000,Total - Sex,Multiple responses,30180,24775,40,4995,365
Alberta (00048)   20000,Total - Sex,  English and French,5350,1615,25,3705,10
Alberta (00048)   20000,Total - Sex,  English and non-official language,24050,22835,0,885,330
Alberta (00048)   20000,Total - Sex,  French and non-official language,510,230,15,235,25
Alberta (00048)   20000,Total - Sex,"  English, French and non-official language",260,95,0,165,0
Alberta (00048)   20000,  Male,Total - Detailed Mother Tongue,1266135,1175105,900,77900,12225
Alberta (00048)   20000,  Male,Single responses,1251330,1162875,870,75525,12055
Alberta (00048)   20000,  Male,  English,1023225,979480,0,43455,290
Alberta (00048)   20000,  Male,  French,27090,1955,805,24330,0
Alberta (00048)   20000,  Male,  Non-official languages,201015,181445,65,7740,11765
Alberta (00048)   20000,  Male,    Aboriginal languages,10910,10230,0,120,550
Alberta (00048)   20000,  Male,      Algonquian languages,8535,8020,0,95,415
Alberta (00048)   20000,  Male,        Algonquin,-,-,-,-,-
Alberta (00048)   20000,  Male,        Attikamek,-,-,-,-,-
Alberta (00048)   20000,  Male,        Blackfoot,1655,1635,0,10,15
Alberta (00048)   20000,  Male,        Cree,6600,6120,0,90,390
