Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Canada (00000)   20000,Total - Sex,"      Celtic languages, n.i.e.",145,35,65,45,0
Canada (00000)   20000,Total - Sex,    Slavic languages,569885,495495,3835,44915,25640
Canada (00000)   20000,Total - Sex,      Bulgarian,4065,2890,225,590,355
Canada (00000)   20000,Total - Sex,      Byelorussian,480,395,0,55,25
Canada (00000)   20000,Total - Sex,      Croatian,39660,35200,65,2645,1755
Canada (00000)   20000,Total - Sex,      Czech,26920,22820,180,3375,545
Canada (00000)   20000,Total - Sex,      Macedonian,15400,13840,0,500,1060
Canada (00000)   20000,Total - Sex,      Polish,189815,155180,2480,18175,13975
Canada (00000)   20000,Total - Sex,      Russian,35300,29375,240,3340,2345
Canada (00000)   20000,Total - Sex,      Serbian,11310,9775,30,890,615
Canada (00000)   20000,Total - Sex,      Serbo-Croatian,5230,4110,135,810,175
Canada (00000)   20000,Total - Sex,      Slovak,17710,15420,140,1840,310
Canada (00000)   20000,Total - Sex,      Slovenian,9095,8135,30,835,90
Canada (00000)   20000,Total - Sex,      Ukrainian,187015,173820,160,9645,3385
Canada (00000)   20000,Total - Sex,"      Slavic languages, n.i.e.",27875,24530,145,2205,995
Canada (00000)   20000,Total - Sex,    Baltic languages,21495,18635,25,2475,360
Canada (00000)   20000,Total - Sex,      Latvian (Lettish),10150,9035,0,1000,110
Canada (00000)   20000,Total - Sex,      Lithuanian,11340,9600,20,1475,250
Canada (00000)   20000,Total - Sex,    Finno-Ugric languages,119270,104145,550,11240,3335
Canada (00000)   20000,Total - Sex,      Estonian,11795,10550,0,1005,240
Canada (00000)   20000,Total - Sex,      Finnish,27705,25820,10,1210,675
Canada (00000)   20000,Total - Sex,      Hungarian,79770,67785,540,9030,2420
Canada (00000)   20000,Total - Sex,    Greek,126205,86645,1025,27645,10890
Canada (00000)   20000,Total - Sex,    Armenian,25785,10100,1700,11625,2355
Canada (00000)   20000,Total - Sex,    Turkic languages,9085,6120,555,1365,1045
Canada (00000)   20000,Total - Sex,      Turkish,8925,6010,555,1330,1025
Canada (00000)   20000,Total - Sex,"      Turkic languages, n.i.e.",155,110,0,35,20
Canada (00000)   20000,Total - Sex,    Semitic languages,149275,81760,14155,41910,11455
Canada (00000)   20000,Total - Sex,      Amharic,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Arabic,107750,48650,13090,37055,8955
Canada (00000)   20000,Total - Sex,      Hebrew,11900,8365,200,3110,225
Canada (00000)   20000,Total - Sex,      Maltese,8200,7990,0,170,40
Canada (00000)   20000,Total - Sex,      Somali,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Tingringa,-,-,-,-,-
Canada (00000)   20000,Total - Sex,"      Semitic languages, n.i.e.",21430,16750,865,1570,2240
Canada (00000)   20000,Total - Sex,    Indo-Iranian languages,301335,249175,1210,17430,33520
Canada (00000)   20000,Total - Sex,      Bengali,8480,6650,100,1150,575
Canada (00000)   20000,Total - Sex,      Gujarati,38070,32310,140,2215,3405
Canada (00000)   20000,Total - Sex,      Hindi,34500,31095,40,1735,1635
Canada (00000)   20000,Total - Sex,      Konkani,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Kurdish,1190,910,30,45,200
Canada (00000)   20000,Total - Sex,      Marathi,1395,1220,0,135,35
Canada (00000)   20000,Total - Sex,      Pashto,1195,915,10,60,215
Canada (00000)   20000,Total - Sex,      Persian (Farsi),40625,30860,775,5105,3890
Canada (00000)   20000,Total - Sex,      Punjabi,136460,110890,40,4150,21380
Canada (00000)   20000,Total - Sex,      Sindhi,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Sinhalese,3085,2855,0,150,85
Canada (00000)   20000,Total - Sex,      Urdu,24900,21765,45,1650,1435
Canada (00000)   20000,Total - Sex,"      Indo-Iranian languages, n.i.e.",11430,9695,35,1035,665
Canada (00000)   20000,Total - Sex,    Dravidian languages,36275,31340,200,1840,2890
Canada (00000)   20000,Total - Sex,      Kannada,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Malayalam,3945,3505,15,275,145
Canada (00000)   20000,Total - Sex,      Tamil,30535,26255,185,1385,2705
Canada (00000)   20000,Total - Sex,      Telugu,910,805,0,75,20
Canada (00000)   20000,Total - Sex,"      Dravidian languages, n.i.e.",880,770,0,100,15
Canada (00000)   20000,Total - Sex,    Japanese,29960,25430,35,1065,3420
Canada (00000)   20000,Total - Sex,    Korean,36185,28935,255,1850,5140
Canada (00000)   20000,Total - Sex,    Sino-Tibetan languages,502015,377195,4535,19725,100560
Canada (00000)   20000,Total - Sex,      Chinese,498845,374615,4530,19515,100185
Canada (00000)   20000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",3170,2575,10,210,375
Canada (00000)   20000,Total - Sex,    Tai languages,14400,8565,2195,1680,1960
Canada (00000)   20000,Total - Sex,      Lao,11625,6420,2105,1505,1595
Canada (00000)   20000,Total - Sex,      Thai,2775,2145,90,170,365
Canada (00000)   20000,Total - Sex,    Austro-Asiatic languages,93575,55040,9225,12945,16365
Canada (00000)   20000,Total - Sex,      Khmer (Cambodian),14435,6270,3270,1690,3205
Canada (00000)   20000,Total - Sex,      Vietnamese,78565,48300,5950,11235,13080
Canada (00000)   20000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",570,465,0,25,80
Canada (00000)   20000,Total - Sex,    Malayo-Polynesian languages,113355,107855,110,2955,2430
Canada (00000)   20000,Total - Sex,      Malay-Bahasa,4340,3960,15,150,215
Canada (00000)   20000,Total - Sex,      Tagalog (Pilipino),99715,95265,45,2465,1930
Canada (00000)   20000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",9300,8625,50,340,285
Canada (00000)   20000,Total - Sex,"    Asiatic languages, n.i.e.",240,210,0,10,15
Canada (00000)   20000,Total - Sex,    Niger-Congo languages,13895,10935,905,1765,290
Canada (00000)   20000,Total - Sex,      Bantu languages,3865,2610,500,655,95
Canada (00000)   20000,Total - Sex,        Swahili,1420,1135,40,185,55
Canada (00000)   20000,Total - Sex,"        Bantu languages, n.i.e.",2440,1470,460,475,40
Canada (00000)   20000,Total - Sex,      Twi,-,-,-,-,-
Canada (00000)   20000,Total - Sex,"      Niger-Congo languages, n.i.e.",10030,8330,405,1110,190
Canada (00000)   20000,Total - Sex,"    African languages, n.i.e.",1495,1270,85,130,20
Canada (00000)   20000,Total - Sex,    Creoles,27805,920,17455,8120,1305
Canada (00000)   20000,Total - Sex,    Other languages,5405,3460,220,425,1305
Canada (00000)   20000,Total - Sex,Multiple responses,307190,182650,13530,108110,2905
Canada (00000)   20000,Total - Sex,  English and French,91895,11120,3290,77400,85
