Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Manitoba (00046)   20000,Total - Sex,      Welsh,65,65,0,0,0
Manitoba (00046)   20000,Total - Sex,"      Celtic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,    Slavic languages,54025,51055,15,1410,1550
Manitoba (00046)   20000,Total - Sex,      Bulgarian,30,30,0,0,0
Manitoba (00046)   20000,Total - Sex,      Byelorussian,70,65,0,0,0
Manitoba (00046)   20000,Total - Sex,      Croatian,715,660,0,40,15
Manitoba (00046)   20000,Total - Sex,      Czech,1290,1170,0,70,45
Manitoba (00046)   20000,Total - Sex,      Macedonian,10,10,0,0,0
Manitoba (00046)   20000,Total - Sex,      Polish,11985,10690,10,465,825
Manitoba (00046)   20000,Total - Sex,      Russian,980,885,0,50,40
Manitoba (00046)   20000,Total - Sex,      Serbian,40,35,0,0,0
Manitoba (00046)   20000,Total - Sex,      Serbo-Croatian,80,65,0,15,0
Manitoba (00046)   20000,Total - Sex,      Slovak,675,630,0,35,10
Manitoba (00046)   20000,Total - Sex,      Slovenian,320,320,0,0,0
Manitoba (00046)   20000,Total - Sex,      Ukrainian,36915,35630,10,700,575
Manitoba (00046)   20000,Total - Sex,"      Slavic languages, n.i.e.",915,855,0,25,35
Manitoba (00046)   20000,Total - Sex,    Baltic languages,415,410,0,0,10
Manitoba (00046)   20000,Total - Sex,      Latvian (Lettish),250,245,0,0,0
Manitoba (00046)   20000,Total - Sex,      Lithuanian,165,160,0,0,10
Manitoba (00046)   20000,Total - Sex,    Finno-Ugric languages,2865,2575,0,205,85
Manitoba (00046)   20000,Total - Sex,      Estonian,110,90,0,25,0
Manitoba (00046)   20000,Total - Sex,      Finnish,490,475,0,10,0
Manitoba (00046)   20000,Total - Sex,      Hungarian,2260,2005,0,170,80
Manitoba (00046)   20000,Total - Sex,    Greek,1675,1385,0,195,100
Manitoba (00046)   20000,Total - Sex,    Armenian,60,60,0,0,0
Manitoba (00046)   20000,Total - Sex,    Turkic languages,125,115,0,10,0
