Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
New Brunswick,13,Total - Sex,Non-Aboriginal languages,20990,15105,435,3195,2250
New Brunswick,13,Total - Sex,Afro-Asiatic languages,3190,1255,110,630,1190
New Brunswick,13,Total - Sex,Berber languages,40,0,10,35,0
New Brunswick,13,Total - Sex,Kabyle,20,0,5,15,0
New Brunswick,13,Total - Sex,"Berber languages, n.i.e.",25,0,5,25,0
New Brunswick,13,Total - Sex,Cushitic languages,30,30,0,0,0
New Brunswick,13,Total - Sex,Bilen,0,0,0,0,0
New Brunswick,13,Total - Sex,Oromo,5,5,0,0,0
New Brunswick,13,Total - Sex,Somali,25,25,0,0,0
New Brunswick,13,Total - Sex,"Cushitic languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Total - Sex,Semitic languages,3110,1230,100,590,1185
New Brunswick,13,Total - Sex,Amharic,65,50,0,10,0
New Brunswick,13,Total - Sex,Arabic,2855,1005,100,560,1180
New Brunswick,13,Total - Sex,Assyrian Neo-Aramaic,0,0,0,0,0
New Brunswick,13,Total - Sex,Chaldean Neo-Aramaic,0,0,0,0,0
New Brunswick,13,Total - Sex,Harari,0,0,0,0,0
New Brunswick,13,Total - Sex,Hebrew,170,150,0,15,5
New Brunswick,13,Total - Sex,Maltese,5,0,0,0,0
New Brunswick,13,Total - Sex,Tigrigna,20,15,0,0,5
New Brunswick,13,Total - Sex,"Semitic languages, n.i.e.",0,0,0,0,5
New Brunswick,13,Total - Sex,"Afro-Asiatic languages, n.i.e.",10,0,5,5,0
New Brunswick,13,Total - Sex,Austro-Asiatic languages,630,505,5,75,45
New Brunswick,13,Total - Sex,Khmer (Cambodian),10,10,0,5,0
New Brunswick,13,Total - Sex,Vietnamese,625,500,5,70,50
New Brunswick,13,Total - Sex,"Austro-Asiatic languages, n.i.e",0,0,0,0,0
New Brunswick,13,Total - Sex,Austronesian languages,1375,1305,10,50,15
New Brunswick,13,Total - Sex,Bikol,5,5,0,0,0
New Brunswick,13,Total - Sex,Cebuano,105,100,0,0,5
New Brunswick,13,Total - Sex,Fijian,0,0,0,0,0
New Brunswick,13,Total - Sex,Hiligaynon,15,10,0,0,0
New Brunswick,13,Total - Sex,Ilocano,45,45,0,0,0
New Brunswick,13,Total - Sex,Malagasy,15,0,5,10,0
New Brunswick,13,Total - Sex,Malay,50,50,0,0,0
New Brunswick,13,Total - Sex,"Pampangan (Kapampangan, Pampango)",5,5,0,0,0
New Brunswick,13,Total - Sex,Pangasinan,0,0,0,0,0
New Brunswick,13,Total - Sex,"Tagalog (Pilipino, Filipino)",1120,1075,5,35,10
New Brunswick,13,Total - Sex,Waray-Waray,0,0,0,0,0
New Brunswick,13,Total - Sex,"Austronesian languages, n.i.e.",15,10,0,0,0
New Brunswick,13,Total - Sex,Creole languages,135,40,20,70,0
New Brunswick,13,Total - Sex,Haitian Creole,10,0,5,5,0
