Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Nova Scotia,12,Total - Sex,"Wakashan languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Total - Sex,"Aboriginal languages, n.o.s.",5,5,0,0,0
Nova Scotia,12,Total - Sex,Non-Aboriginal languages,40265,34230,55,3410,2570
Nova Scotia,12,Total - Sex,Afro-Asiatic languages,7755,5850,20,800,1090
Nova Scotia,12,Total - Sex,Berber languages,10,5,0,5,0
Nova Scotia,12,Total - Sex,Kabyle,5,5,0,5,0
Nova Scotia,12,Total - Sex,"Berber languages, n.i.e.",5,5,0,0,0
Nova Scotia,12,Total - Sex,Cushitic languages,130,100,0,5,20
Nova Scotia,12,Total - Sex,Bilen,5,0,0,0,5
Nova Scotia,12,Total - Sex,Oromo,60,50,0,5,5
Nova Scotia,12,Total - Sex,Somali,50,45,0,5,5
Nova Scotia,12,Total - Sex,"Cushitic languages, n.i.e.",15,5,0,0,10
Nova Scotia,12,Total - Sex,Semitic languages,7615,5745,20,785,1065
Nova Scotia,12,Total - Sex,Amharic,115,110,0,0,0
Nova Scotia,12,Total - Sex,Arabic,7110,5315,15,760,1020
Nova Scotia,12,Total - Sex,Assyrian Neo-Aramaic,5,5,0,0,0
Nova Scotia,12,Total - Sex,Chaldean Neo-Aramaic,5,0,0,0,0
Nova Scotia,12,Total - Sex,Harari,0,5,0,0,0
Nova Scotia,12,Total - Sex,Hebrew,210,185,0,10,10
Nova Scotia,12,Total - Sex,Maltese,15,15,0,0,0
Nova Scotia,12,Total - Sex,Tigrigna,145,100,5,10,35
Nova Scotia,12,Total - Sex,"Semitic languages, n.i.e.",10,10,0,0,0
Nova Scotia,12,Total - Sex,"Afro-Asiatic languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Total - Sex,Austro-Asiatic languages,500,410,0,40,50
Nova Scotia,12,Total - Sex,Khmer (Cambodian),5,5,0,0,0
Nova Scotia,12,Total - Sex,Vietnamese,495,405,5,35,50
Nova Scotia,12,Total - Sex,"Austro-Asiatic languages, n.i.e",0,0,0,0,0
Nova Scotia,12,Total - Sex,Austronesian languages,2240,2195,0,30,15
Nova Scotia,12,Total - Sex,Bikol,5,5,0,0,0
Nova Scotia,12,Total - Sex,Cebuano,150,145,0,0,0
Nova Scotia,12,Total - Sex,Fijian,0,5,0,0,0
Nova Scotia,12,Total - Sex,Hiligaynon,25,25,0,0,0
Nova Scotia,12,Total - Sex,Ilocano,55,50,0,5,0
Nova Scotia,12,Total - Sex,Malagasy,0,0,0,0,0
Nova Scotia,12,Total - Sex,Malay,60,50,0,5,0
Nova Scotia,12,Total - Sex,"Pampangan (Kapampangan, Pampango)",15,10,0,0,0
Nova Scotia,12,Total - Sex,Pangasinan,5,0,0,0,0
Nova Scotia,12,Total - Sex,"Tagalog (Pilipino, Filipino)",1905,1875,0,20,10
Nova Scotia,12,Total - Sex,Waray-Waray,0,0,0,0,0
Nova Scotia,12,Total - Sex,"Austronesian languages, n.i.e.",20,20,0,5,0
Nova Scotia,12,Total - Sex,Creole languages,95,70,0,25,0
Nova Scotia,12,Total - Sex,Haitian Creole,5,5,0,5,0
Nova Scotia,12,Total - Sex,"Creole, n.o.s.",35,15,0,15,0
Nova Scotia,12,Total - Sex,"Creole languages, n.i.e.",50,45,0,5,0
Nova Scotia,12,Total - Sex,Dravidian languages,1010,950,0,40,25
Nova Scotia,12,Total - Sex,Kannada,40,35,0,5,0
Nova Scotia,12,Total - Sex,Malayalam,365,355,0,10,5
Nova Scotia,12,Total - Sex,Tamil,320,290,0,20,10
Nova Scotia,12,Total - Sex,Telugu,285,265,0,10,5
Nova Scotia,12,Total - Sex,"Dravidian languages, n.i.e.",10,5,0,0,0
Nova Scotia,12,Total - Sex,Hmong-Mien languages,5,0,0,0,0
Nova Scotia,12,Total - Sex,Indo-European languages,18595,15835,15,2055,680
Nova Scotia,12,Total - Sex,Albanian,275,240,0,10,20
Nova Scotia,12,Total - Sex,Armenian,40,25,0,10,0
Nova Scotia,12,Total - Sex,Balto-Slavic languages,3470,2995,5,375,100
Nova Scotia,12,Total - Sex,Baltic languages,100,75,0,20,0
Nova Scotia,12,Total - Sex,Latvian,50,40,0,15,0
Nova Scotia,12,Total - Sex,Lithuanian,50,35,0,5,0
Nova Scotia,12,Total - Sex,Slavic languages,3375,2915,5,355,100
Nova Scotia,12,Total - Sex,Belarusan,5,5,0,0,0
Nova Scotia,12,Total - Sex,Bosnian,120,110,0,5,5
Nova Scotia,12,Total - Sex,Bulgarian,55,50,0,5,5
Nova Scotia,12,Total - Sex,Croatian,220,195,0,25,5
Nova Scotia,12,Total - Sex,Czech,205,160,0,40,5
Nova Scotia,12,Total - Sex,Macedonian,20,20,0,0,0
Nova Scotia,12,Total - Sex,Polish,800,685,0,100,10
Nova Scotia,12,Total - Sex,Russian,1285,1115,0,105,70
Nova Scotia,12,Total - Sex,Serbian,120,110,0,5,5
Nova Scotia,12,Total - Sex,Serbo-Croatian,80,75,0,5,0
Nova Scotia,12,Total - Sex,Slovak,100,85,0,20,0
Nova Scotia,12,Total - Sex,Slovene (Slovenian),35,30,0,0,0
Nova Scotia,12,Total - Sex,Ukrainian,320,270,0,40,5
