Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Manitoba (00046)   20000,Total - Sex,Total - Detailed Mother Tongue,1100295,983820,1490,103135,11840
Manitoba (00046)   20000,Total - Sex,Single responses,1081575,967795,1455,100560,11760
Manitoba (00046)   20000,Total - Sex,  English,813055,761490,10,51335,215
Manitoba (00046)   20000,Total - Sex,  French,47660,2695,1360,43600,0
Manitoba (00046)   20000,Total - Sex,  Non-official languages,220855,203610,80,5620,11545
Manitoba (00046)   20000,Total - Sex,    Aboriginal languages,35535,32870,10,175,2480
Manitoba (00046)   20000,Total - Sex,      Algonquian languages,33910,31390,10,165,2355
Manitoba (00046)   20000,Total - Sex,        Algonquin,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Attikamek,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Blackfoot,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Cree,23620,21675,10,90,1840
Manitoba (00046)   20000,Total - Sex,        Malecite,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Micmac,10,10,0,0,0
Manitoba (00046)   20000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Ojibway,9700,9235,0,40,425
Manitoba (00046)   20000,Total - Sex,        Oji-Cree,515,420,0,10,85
Manitoba (00046)   20000,Total - Sex,"        Algonquian languages, n.i.e.",60,40,0,20,0
Manitoba (00046)   20000,Total - Sex,      Athapaskan languages,790,665,0,10,125
Manitoba (00046)   20000,Total - Sex,        Carrier,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Chilcotin,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Chipewyan,15,15,0,0,0
Manitoba (00046)   20000,Total - Sex,        Dene,775,645,0,0,125
Manitoba (00046)   20000,Total - Sex,        Dogrib,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        South Slave,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Haida,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Iroquoian languages,0,0,0,10,0
Manitoba (00046)   20000,Total - Sex,        Mohawk,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Kutenai,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Salish languages,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Shuswap,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Thompson (Ntlakapamux),0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Siouan languages,710,705,0,10,0
Manitoba (00046)   20000,Total - Sex,        Dakota/Sioux,710,705,0,10,10
Manitoba (00046)   20000,Total - Sex,      Tlingit,0,10,0,0,0
Manitoba (00046)   20000,Total - Sex,      Tsimshian languages,10,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Tsimshian,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Gitksan,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Nishga,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,      Wakashan languages,0,0,0,0,0
Manitoba (00046)   20000,Total - Sex,        Nootka,0,0,0,0,0
