Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,Total - Detailed Mother Tongue,3689755,3342350,1780,248585,97040
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,Single responses,3639815,3300555,1730,241080,96455
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,  English,2785020,2624670,35,159255,1060
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,  French,53035,4885,1155,46990,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,  Non-official languages,801760,671000,535,34835,95385
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,    Aboriginal languages,11480,11205,10,145,120
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Algonquian languages,1835,1745,10,75,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Algonquin,10,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Attikamek,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Blackfoot,115,105,0,10,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Cree,1335,1295,0,35,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Malecite,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Micmac,15,15,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Ojibway,350,310,10,25,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Oji-Cree,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Algonquian languages, n.i.e.",25,20,0,10,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Athapaskan languages,2790,2690,0,15,85
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Carrier,1500,1475,0,10,15
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Chilcotin,590,530,0,0,60
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Chipewyan,15,15,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Dene,45,40,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Dogrib,0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        North Slave (Hare),0,0,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        South Slave,130,125,0,10,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",500,495,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Haida,175,175,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Iroquoian languages,20,20,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Mohawk,10,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",10,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Kutenai,110,105,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Salish languages,2495,2470,10,20,10
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Shuswap,555,550,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Thompson (Ntlakapamux),410,395,0,15,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Salish languages, n.i.e.",1535,1520,10,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Siouan languages,65,65,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Dakota/Sioux,65,65,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Tlingit,10,10,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Tsimshian languages,2110,2085,0,0,15
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Tsimshian,375,375,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Gitksan,1055,1035,0,10,15
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Nishga,675,670,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,      Wakashan languages,1360,1355,0,10,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,        Nootka,460,460,0,0,0
British Columbia - Colombie-Britannique (00059)   20000,Total - Sex,"        Wakashan languages, n.i.e.",905,895,0,0,0
