Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Canada (00000)   20000,Total - Sex,Total - Detailed Mother Tongue,28528125,19134250,4079085,4841320,473475
Canada (00000)   20000,Total - Sex,Single responses,28125565,18893645,4058240,4703795,469880
Canada (00000)   20000,Total - Sex,  English,16890615,15397900,5705,1481905,5105
Canada (00000)   20000,Total - Sex,  French,6636655,32845,3898125,2704745,945
Canada (00000)   20000,Total - Sex,  Non-official languages,4598285,3462905,154405,517145,463835
Canada (00000)   20000,Total - Sex,    Aboriginal languages,186935,151435,10645,5815,19045
Canada (00000)   20000,Total - Sex,      Algonquian languages,130140,104595,9625,4790,11125
Canada (00000)   20000,Total - Sex,        Algonquin,1950,425,835,565,115
Canada (00000)   20000,Total - Sex,        Attikamek,3900,10,2675,80,1140
Canada (00000)   20000,Total - Sex,        Blackfoot,3455,3400,0,45,15
Canada (00000)   20000,Total - Sex,        Cree,76840,66975,245,3130,6480
Canada (00000)   20000,Total - Sex,        Malecite,535,530,10,10,0
Canada (00000)   20000,Total - Sex,        Micmac,6755,6355,0,265,135
Canada (00000)   20000,Total - Sex,        Montagnais-Naskapi,8750,1525,5825,375,1030
Canada (00000)   20000,Total - Sex,        Ojibway,22710,20985,40,260,1425
Canada (00000)   20000,Total - Sex,        Oji-Cree,5035,4240,0,15,785
Canada (00000)   20000,Total - Sex,"        Algonquian languages, n.i.e.",210,155,0,50,0
Canada (00000)   20000,Total - Sex,      Athapaskan languages,17900,16145,30,150,1585
Canada (00000)   20000,Total - Sex,        Carrier,1515,1490,0,10,15
Canada (00000)   20000,Total - Sex,        Chilcotin,590,530,0,10,60
Canada (00000)   20000,Total - Sex,        Chipewyan,1315,1220,10,35,50
Canada (00000)   20000,Total - Sex,        Dene,8245,7185,10,30,1025
Canada (00000)   20000,Total - Sex,        Dogrib,2040,1785,0,15,240
Canada (00000)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),350,350,0,0,0
Canada (00000)   20000,Total - Sex,        North Slave (Hare),270,240,0,0,30
Canada (00000)   20000,Total - Sex,        South Slave,2470,2250,15,50,155
Canada (00000)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",1105,1090,0,0,10
Canada (00000)   20000,Total - Sex,      Haida,175,170,0,0,0
