Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Italian,80,70,0,15,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Portuguese,20,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Romanian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Spanish,60,55,0,10,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Romance languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Germanic languages,485,425,0,60,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      German,315,270,0,40,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Yiddish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Netherlandic languages,105,95,0,15,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Dutch,100,90,0,15,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Flemish,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Frisian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Scandinavian languages,60,55,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Danish,35,30,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Icelandic,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Norwegian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,        Swedish,10,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Germanic languages, n.i.e.",10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Celtic languages,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Gaelic languages,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Welsh,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Celtic languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Slavic languages,340,320,0,20,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Bulgarian,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Byelorussian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Croatian,25,25,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Czech,15,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Macedonian,10,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Polish,70,60,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Russian,25,20,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Serbian,20,20,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Serbo-Croatian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Slovak,35,35,0,0,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Slovenian,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Ukrainian,105,95,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,"      Slavic languages, n.i.e.",15,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,    Baltic languages,10,0,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,Total - Sex,      Latvian (Lettish),0,10,0,0,0
