Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Bengali,90,80,0,10,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Maltese,20,10,0,10,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Flemish,40,20,0,15,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Montagnais-Naskapi,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Bulgarian,40,40,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Micmac,3995,3875,0,40,75
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Gaelic languages,420,385,0,25,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      South Slave,10,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Chipewyan,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Dogrib,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Tlingit,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Serbo-Croatian,160,155,0,10,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Dakota/Sioux,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Malay-Bahasa,35,35,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Blackfoot,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Malayalam,15,20,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Thai,45,45,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Kurdish,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Pashto,0,0,0,10,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,      Other languages,1165,1020,0,60,85
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,  Multiple responses,4375,1935,10,2395,30
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,    English and French,2555,400,10,2145,0
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,    English and non-official language,1660,1500,0,120,30
Nova Scotia - Nouvelle-Écosse (12)  00000,Total - Sex,    French and non-official language,125,25,0,100,0
