Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Ontario (35)  20000,Total - Sex,      Kurdish,3410,3015,0,90,305
Ontario (35)  20000,Total - Sex,      Pashto,3960,3385,0,100,475
Ontario (35)  20000,Total - Sex,      Other languages,124745,108080,990,8755,6920
Ontario (35)  20000,Total - Sex,  Multiple responses,162610,113320,640,47200,1450
Ontario (35)  20000,Total - Sex,    English and French,37135,5700,170,31245,20
Ontario (35)  20000,Total - Sex,    English and non-official language,114275,103760,40,9220,1250
Ontario (35)  20000,Total - Sex,    French and non-official language,8005,2965,425,4440,175
Ontario (35)  20000,Total - Sex,"    English, French and non-official language",3200,895,10,2290,0
Ontario (35)  20000,  Male,Total - Detailed mother tongue,5529145,4822335,18360,598125,90320
Ontario (35)  20000,  Male,  Single responses,5450095,4765890,18170,576285,89750
Ontario (35)  20000,  Male,    English,3913300,3625390,250,285830,1815
Ontario (35)  20000,  Male,    French,230080,7530,15765,206720,70
Ontario (35)  20000,  Male,    Non-official languages,1306710,1132970,2155,83735,87850
Ontario (35)  20000,  Male,      Italian,148330,128065,190,10390,9690
Ontario (35)  20000,  Male,      Cantonese,75515,60605,20,2575,12305
Ontario (35)  20000,  Male,      Mandarin,20700,17440,20,520,2720
Ontario (35)  20000,  Male,      Hakka,1135,1000,0,50,90
Ontario (35)  20000,  Male,"      Chinese, n.o.s.",97770,81060,30,3195,13480
Ontario (35)  20000,  Male,      German,72970,66030,45,5220,1665
Ontario (35)  20000,  Male,      Portuguese,74920,62105,230,4090,8500
Ontario (35)  20000,  Male,      Polish,65235,58765,40,4285,2145
Ontario (35)  20000,  Male,      Ukrainian,21650,19815,0,1345,495
Ontario (35)  20000,  Male,      Spanish,57865,47775,150,5130,4815
Ontario (35)  20000,  Male,      Dutch,34520,31910,0,2500,110
Ontario (35)  20000,  Male,      Punjabi,56730,49760,15,1920,5040
Ontario (35)  20000,  Male,      Greek,32945,29860,20,1770,1300
Ontario (35)  20000,  Male,      Arabic,50685,39125,255,8795,2505
Ontario (35)  20000,  Male,      Tagalog (Pilipino),36220,35025,80,690,420
Ontario (35)  20000,  Male,      Hungarian,22275,19920,10,1575,775
Ontario (35)  20000,  Male,      Vietnamese,26975,22610,130,1625,2605
Ontario (35)  20000,  Male,      Cree,2120,1905,0,60,150
Ontario (35)  20000,  Male,      Persian (Farsi),30120,26185,25,2195,1720
Ontario (35)  20000,  Male,      Croatian,18735,17345,15,890,485
Ontario (35)  20000,  Male,      Gujarati,19440,17510,0,860,1080
Ontario (35)  20000,  Male,      Korean,21830,18905,10,775,2145
Ontario (35)  20000,  Male,      Russian,26925,23760,15,1440,1725
Ontario (35)  20000,  Male,      Hindi,13150,12285,15,580,265
Ontario (35)  20000,  Male,      Tamil,39040,35595,60,1195,2195
Ontario (35)  20000,  Male,      Japanese,4465,3985,0,150,330
Ontario (35)  20000,  Male,      Creoles,1575,565,200,795,20
Ontario (35)  20000,  Male,      Finnish,6410,6065,0,245,105
Ontario (35)  20000,  Male,      Czech,5880,5190,0,585,100
Ontario (35)  20000,  Male,      Armenian,5995,4365,10,1285,345
Ontario (35)  20000,  Male,      Yiddish,3715,3160,0,460,85
Ontario (35)  20000,  Male,      Urdu,33585,30825,15,1315,1430
Ontario (35)  20000,  Male,      Inuktitut (Eskimo),50,40,0,10,0
Ontario (35)  20000,  Male,      Romanian,13945,9005,75,4355,495
Ontario (35)  20000,  Male,      Ojibway,4650,4405,0,30,215
Ontario (35)  20000,  Male,      Danish,3100,2880,0,210,10
Ontario (35)  20000,  Male,      Slovak,5145,4755,0,355,40
Ontario (35)  20000,  Male,      Macedonian,8230,7620,0,280,325
Ontario (35)  20000,  Male,      Khmer (Cambodian),2550,2160,15,130,255
Ontario (35)  20000,  Male,      Norwegian,605,565,0,40,0
Ontario (35)  20000,  Male,      Hebrew,4265,3755,0,505,10
Ontario (35)  20000,  Male,      Estonian,2975,2705,0,250,15
Ontario (35)  20000,  Male,      Swedish,1270,1135,0,135,0
Ontario (35)  20000,  Male,      Lao,2525,2205,0,175,150
Ontario (35)  20000,  Male,      Lithuanian,3100,2720,0,315,55
Ontario (35)  20000,  Male,      Serbian,16545,14555,20,985,985
Ontario (35)  20000,  Male,      Latvian (Lettish),2895,2600,0,300,0
Ontario (35)  20000,  Male,      Slovenian,4330,4090,10,175,50
Ontario (35)  20000,  Male,      Turkish,5650,4785,15,410,445
Ontario (35)  20000,  Male,      Bengali,10430,9465,0,625,335
Ontario (35)  20000,  Male,      Maltese,3685,3595,0,80,0
Ontario (35)  20000,  Male,      Flemish,1605,1295,0,305,0
Ontario (35)  20000,  Male,      Montagnais-Naskapi,0,0,0,10,0
Ontario (35)  20000,  Male,      Bulgarian,2775,2400,0,275,100
Ontario (35)  20000,  Male,      Micmac,25,15,0,10,0
Ontario (35)  20000,  Male,      Gaelic languages,315,275,0,40,0
Ontario (35)  20000,  Male,      South Slave,0,0,0,0,0
Ontario (35)  20000,  Male,      Chipewyan,0,0,0,0,0
Ontario (35)  20000,  Male,      Dogrib,10,10,0,0,0
Ontario (35)  20000,  Male,      Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Ontario (35)  20000,  Male,      Tlingit,0,0,0,0,0
Ontario (35)  20000,  Male,      Serbo-Croatian,7300,6160,30,565,535
Ontario (35)  20000,  Male,      Dakota/Sioux,10,10,0,0,0
Ontario (35)  20000,  Male,      Malay-Bahasa,1530,1475,0,20,40
