Geography,Sex (3),Detailed Mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Alberta (48)  20000,Total - Sex,      Other languages,19275,17425,40,1010,795
Alberta (48)  20000,Total - Sex,  Multiple responses,33770,27095,50,6415,210
Alberta (48)  20000,Total - Sex,    English and French,5785,1355,25,4405,0
Alberta (48)  20000,Total - Sex,    English and non-official language,26425,25095,0,1130,195
Alberta (48)  20000,Total - Sex,    French and non-official language,1090,510,35,535,15
Alberta (48)  20000,Total - Sex,"    English, French and non-official language",475,135,0,340,0
Alberta (48)  20000,  Male,Total - Detailed mother tongue,1472640,1366025,905,93795,11915
Alberta (48)  20000,  Male,  Single responses,1456560,1353175,875,90700,11805
Alberta (48)  20000,  Male,    English,1199310,1143975,10,54980,350
Alberta (48)  20000,  Male,    French,29445,2280,685,26470,0
Alberta (48)  20000,  Male,    Non-official languages,227805,206925,180,9250,11455
Alberta (48)  20000,  Male,      Italian,7280,6335,0,710,240
Alberta (48)  20000,  Male,      Cantonese,12330,10125,15,310,1885
Alberta (48)  20000,  Male,      Mandarin,2580,2235,0,65,280
Alberta (48)  20000,  Male,      Hakka,265,235,0,15,20
Alberta (48)  20000,  Male,"      Chinese, n.o.s.",21975,18500,0,315,3150
Alberta (48)  20000,  Male,      German,38455,36190,15,1350,905
Alberta (48)  20000,  Male,      Portuguese,3050,2660,0,225,170
Alberta (48)  20000,  Male,      Polish,9770,9025,10,530,200
Alberta (48)  20000,  Male,      Ukrainian,15625,15195,15,320,105
Alberta (48)  20000,  Male,      Spanish,9590,8560,0,680,355
Alberta (48)  20000,  Male,      Dutch,10000,9390,10,565,35
Alberta (48)  20000,  Male,      Punjabi,11300,9920,0,210,1170
Alberta (48)  20000,  Male,      Greek,1510,1355,0,110,40
Alberta (48)  20000,  Male,      Arabic,8495,7560,40,650,250
Alberta (48)  20000,  Male,      Tagalog (Pilipino),6840,6645,0,145,45
Alberta (48)  20000,  Male,      Hungarian,3555,3355,0,160,35
Alberta (48)  20000,  Male,      Vietnamese,8225,7190,35,275,725
Alberta (48)  20000,  Male,      Cree,7275,7000,10,120,150
Alberta (48)  20000,  Male,      Persian (Farsi),2010,1755,0,100,155
Alberta (48)  20000,  Male,      Croatian,2135,2045,0,55,45
Alberta (48)  20000,  Male,      Gujarati,2360,2210,0,100,45
Alberta (48)  20000,  Male,      Korean,2975,2640,0,50,285
Alberta (48)  20000,  Male,      Russian,3160,2850,0,205,105
Alberta (48)  20000,  Male,      Hindi,3260,3110,0,60,85
Alberta (48)  20000,  Male,      Tamil,535,510,0,25,0
Alberta (48)  20000,  Male,      Japanese,1425,1325,0,75,25
Alberta (48)  20000,  Male,      Creoles,140,80,0,60,0
Alberta (48)  20000,  Male,      Finnish,515,480,0,35,10
Alberta (48)  20000,  Male,      Czech,1730,1570,0,145,15
Alberta (48)  20000,  Male,      Armenian,130,115,0,10,0
Alberta (48)  20000,  Male,      Yiddish,165,125,0,35,0
Alberta (48)  20000,  Male,      Urdu,2595,2435,0,30,130
Alberta (48)  20000,  Male,      Inuktitut (Eskimo),15,15,0,0,0
Alberta (48)  20000,  Male,      Romanian,1505,1130,0,340,35
Alberta (48)  20000,  Male,      Ojibway,330,295,0,0,35
Alberta (48)  20000,  Male,      Danish,2000,1930,0,60,0
Alberta (48)  20000,  Male,      Slovak,710,695,0,15,10
Alberta (48)  20000,  Male,      Macedonian,50,35,10,10,0
Alberta (48)  20000,  Male,      Khmer (Cambodian),665,595,0,35,35
