Geography,Sex (3),Detailed mother,Total - Knowledge of official languages,  English only,  French only,  English and French,  Neither English nor French
Ontario (35)   20010,Total - Sex,      Pashto,6125,5375,0,175,570
Ontario (35)   20010,Total - Sex,      Persian (Farsi),79740,68100,110,5090,6440
Ontario (35)   20010,Total - Sex,      Sindhi,6390,5595,0,500,285
Ontario (35)   20010,Total - Sex,      Sinhala (Sinhalese),7030,6680,0,215,130
Ontario (35)   20010,Total - Sex,      Urdu,114820,104010,25,3300,7480
Ontario (35)   20010,Total - Sex,      Malayalam,8585,8070,0,255,260
Ontario (35)   20010,Total - Sex,      Tamil,98905,87385,35,3075,8400
Ontario (35)   20010,Total - Sex,      Telugu,5055,4635,0,210,210
Ontario (35)   20010,Total - Sex,      Japanese,12075,10810,10,515,745
Ontario (35)   20010,Total - Sex,      Korean,60000,51870,45,2175,5905
Ontario (35)   20010,Total - Sex,      Cantonese,181820,139565,95,6745,35415
Ontario (35)   20010,Total - Sex,"      Chinese, n.o.s.",215345,170660,120,7480,37085
Ontario (35)   20010,Total - Sex,      Mandarin,75335,61115,20,2625,11575
Ontario (35)   20010,Total - Sex,      Taiwanese,2535,2065,0,120,350
Ontario (35)   20010,Total - Sex,      Lao,5805,5075,10,265,455
Ontario (35)   20010,Total - Sex,      Khmer (Cambodian),7070,5815,35,370,850
Ontario (35)   20010,Total - Sex,      Vietnamese,67150,54520,270,3245,9115
Ontario (35)   20010,Total - Sex,      Bisayan languages,5465,5335,0,40,75
Ontario (35)   20010,Total - Sex,      Ilocano,6280,6010,0,105,160
Ontario (35)   20010,Total - Sex,      Malay,4765,4560,0,135,70
Ontario (35)   20010,Total - Sex,"      Tagalog (Pilipino, Filipino)",117365,113995,0,2050,1320
Ontario (35)   20010,Total - Sex,      Akan (Twi),10335,9730,0,410,195
Ontario (35)   20010,Total - Sex,      Swahili,3875,3105,130,525,115
Ontario (35)   20010,Total - Sex,      Creoles,6600,2000,900,3560,140
Ontario (35)   20010,Total - Sex,      Other languages,83975,70510,715,7090,5665
Ontario (35)   20010,Total - Sex,  Multiple responses,175335,127995,785,45230,1320
Ontario (35)   20010,Total - Sex,    English and French,32685,5005,185,27485,10
Ontario (35)   20010,Total - Sex,    English and non-official language,131290,120055,65,10035,1130
Ontario (35)   20010,Total - Sex,    French and non-official language,7785,2230,490,4920,150
Ontario (35)   20010,Total - Sex,"    English, French and non-official language",3565,695,40,2795,35
Ontario (35)   20010,  Male,Total - Detailed mother tongue,5877875,5130945,21455,621285,104185
Ontario (35)   20010,  Male,  Single responses,5792795,5067400,21110,600745,103545
Ontario (35)   20010,  Male,    English,4044755,3740870,145,302280,1465
Ontario (35)   20010,  Male,    French,230700,6670,18865,205115,45
Ontario (35)   20010,  Male,    Non-official languages,1517340,1319850,2105,93350,102030
Ontario (35)   20010,  Male,      Algonquin,15,10,0,10,0
Ontario (35)   20010,  Male,      Atikamekw,0,0,0,0,0
