Census Year,Boundary Type,Boundary Name,Boundary Number,Language English Only,Language English and French,Language Neither English nor French,Language French Only,Language Total,Language2 Tagalog,Language2 German,Language2 Ukrainian,Language2 Spanish,Language2 Polish,Language2 Punjabi,Language2 Portuguese,Language2 Chinese Other,Language2 Italian,Language2 All Other Languages,Language2 Russian,Language2 Hindi,Language2 Vietnamese,Language2 Cantonese,Language2 Ojibway,Language2 Arabic,Language2 Cree,Language2 Dutch,Language2 Korean,Language2 Hebrew,Language2 Mandarin,Language2 Farsi,Language2 Urdu,Language2 Greek,Language2 Amharic,Language2 Croatian,Language2 Hungarian,Language2 Yiddish,Language2 Japanese,Language2 Lao,Language2 Creoles,Language2 Serbian,Language2 Ilocano,Language2 Czech,Language2 Romanian,Language2 Gujarati,Language2 Swahili,Language2 Bosnian,Language2 Oji-Cree,Language2 Khmer,Language2 Somali,Language2 Tigrigna,Language2 Danish,Language2 Bengali,Language2 Kurdish,Language2 Serbo-Croatian,Language2 Slovak,Language2 Bisayan,Language2 Tamil,Language2 Sinhalese,Language2 Swedish,Language2 Slovenian,Language2 Malay,Language2 Flemish,Language2 Macedonian,Language2 Turkish,Language2 Finnish,Language2 Lithuanian,Language2 Latvian,Language2 Malayalam,Language2 Norwegian,Language2 Bulgarian,Language2 Inuktitut,Language2 Sioux,Language2 Pashto,Language2 Taiwanese,Language2 Telugu,Language2 Twi,Language2 Estonian,Language2 Dene,Language2 Maltese,Language2 Frisian,Language2 Armenian,Language2 Blackfoot,Language2 Mohawk,Language2 Sindhi,Language2 Other Languages,Language2 Algonquin,Language2 Atikamekw,Language2 Carrier,Language2 Chilcotin,Language2 Chipewyan,Language2 Dogrib,Language2 Gitksan,Language2 Hare,Language2 Inuinnaqtun,Language2 Kutchin-Gwich-in-Loucheux,Language2 Malecite,Language2 Mikmaq,Language2 Montagnais-Naskapi,Language2 Nisgaa,Language2 Shuswap,Language2 SouthSlave,Language2 Tlingit,Language2 Nonverbal,Language2 Gaelic,Language2 Micmac,Language2 Hakka,Language2 South Slave,Language2 Total
2006,Neighbourhood,Robertson,3.312,"3,975",175,45,10,"4,205",475,115,370,0,180,0,105,10,15,170,40,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,440"
2006,Neighbourhood,Roblin Park,2.624,810,175,0,0,980,0,75,0,30,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,125
2006,Neighbourhood,Rockwood,1.607,"3,875",325,10,0,"4,205",60,105,80,170,40,95,10,10,75,535,10,95,0,45,0,0,0,25,10,20,0,40,0,0,0,85,20,25,10,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,180"
2006,Neighbourhood,Roslyn,1.117,"3,620",515,0,0,"4,145",25,195,120,165,50,10,0,40,45,680,15,10,20,35,30,15,15,55,10,25,0,0,10,0,0,25,45,130,75,0,0,30,0,0,15,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,330"
2006,Neighbourhood,Rosser-Old Kildonan,3.335,215,0,0,0,215,0,10,45,0,35,15,0,0,10,40,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,155
2006,Neighbourhood,Rossmere-A,4.413,"12,480",715,155,0,"13,355",80,"2,425",670,820,185,10,75,15,55,"1,095",200,0,60,30,70,45,10,70,0,55,10,40,0,30,90,50,20,0,0,55,0,0,0,10,0,0,20,0,0,25,0,0,0,0,0,35,10,0,0,0,0,10,0,0,35,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"5,430"
2006,Neighbourhood,Rossmere-B,4.434,"3,575",300,0,0,"3,885",10,245,280,125,95,25,40,0,25,235,60,0,0,0,0,0,0,20,10,0,0,0,0,0,25,15,20,0,10,0,0,0,0,10,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,080"
2006,Neighbourhood,Royalwood,5.555,"2,265",505,70,0,"2,840",40,35,40,10,10,25,10,125,40,320,0,25,75,25,0,0,0,0,10,0,10,10,20,0,0,10,40,0,0,0,0,0,0,25,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,655
2006,Neighbourhood,Sargent Park,1.118,"5,400",325,115,0,"5,840","1,230",145,55,50,45,0,350,45,145,670,10,25,95,25,50,0,10,0,25,10,10,15,0,10,0,0,20,0,50,0,15,0,55,0,0,0,0,0,0,70,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,10,0,20,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"2,735"
2006,Neighbourhood,Seven Oaks,3.314,"2,675",200,0,0,"2,875",70,110,195,85,115,0,10,0,10,245,20,0,0,0,0,0,10,50,0,10,0,0,0,10,0,40,10,15,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,840
2006,Neighbourhood,Shaughnessy Park,3.315,"2,175",80,30,0,"2,285",480,15,120,0,95,15,85,0,20,160,0,40,15,0,30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,990
